اسم الدولة,اسم الدولة الرسمي,مفتاح الهاتف,الرمز,العاصمة,القارة,المساحة,الخريطة,عدد السكان,العلم,الشعار
المملكة العربية السعودية,المملكة العربية السعودية,966,SAU,الرياض,آسيا,2149690,https://goo.gl/maps/5PSjvdJ1AyaLFRrG9,34813867,https://flagcdn.com/sa.svg,https://mainfacts.com/media/images/coats_of_arms/sa.svg
أفغانستان,جمهورية أفغانستان الاسلامية,93,AFG,كابول,آسيا,652230,https://goo.gl/maps/BXBGw7yUUFknCfva9,40218234,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_the_Taliban.svg,https://mainfacts.com/media/images/coats_of_arms/af.svg
ألبانيا,جمهورية ألبانيا,355,ALB,تيرانا,أوروبا,28748,https://goo.gl/maps/BzN9cTuj68ZA8SyZ8,2837743,https://flagcdn.com/al.svg,https://mainfacts.com/media/images/coats_of_arms/al.svg
الجزائر,جمهورية الجزائر الديمقراطية الشعبية,213,DZA,الجزائر العاصمة,أفريقيا,2381741,https://goo.gl/maps/RsAyAfyaiNVb8DpW8,510713,https://flagcdn.com/dz.svg,https://mainfacts.com/media/images/coats_of_arms/dz.svg
ساموا الأمريكية,ساموا الأمريكية,1-684,ASM,وباجو باغو,أوقيانوسيا,199,https://goo.gl/maps/Re9ePMjwP1sFCBFA6,55197,https://flagcdn.com/as.svg,
أندورا,إمارة أندورا,376,AND,أندورا لا فيلا,أوروبا,468,https://goo.gl/maps/JqAnacWE2qEznKgw7,77265,https://flagcdn.com/ad.svg,https://mainfacts.com/media/images/coats_of_arms/ad.svg
أنغولا,جمهورية أنغولا,244,AGO,لواندا,أفريقيا,1246700,https://goo.gl/maps/q42Qbf1BmQL3fuZg9,32866268,https://flagcdn.com/ao.svg,https://mainfacts.com/media/images/coats_of_arms/ao.svg
أنغيلا,أنغيلا,1-264,AIA,الوادي,الأمريكتين,91,https://goo.gl/maps/3KgLnEyN7amdno2p9,13452,https://flagcdn.com/ai.svg,https://mainfacts.com/media/images/coats_of_arms/ai.svg
أنتاركتيكا,أنتاركتيكا,672,ATA,لا يوجد,القطب الجنوبي,14000000,https://goo.gl/maps/kyBuJriu4itiXank7,1000,https://flagcdn.com/aq.svg,https://mainfacts.com/media/images/coats_of_arms/aq.svg
أنتيغوا وبربودا,أنتيغوا وبربودا,1-268,ATG,سانت جون,الأمريكتين,442,https://goo.gl/maps/fnye4wGJ1RzC9jpX9,97928,https://flagcdn.com/ag.svg,https://mainfacts.com/media/images/coats_of_arms/ag.svg
الأرجنتين,جمهورية الأرجنتين,54,ARG,بوينس آيرس,الأمريكتين,2780400,https://goo.gl/maps/Z9DXNxhf2o93kvyc6,45376763,https://flagcdn.com/ar.svg,https://mainfacts.com/media/images/coats_of_arms/ar.svg
