COUNTRY,COUNTRY CODE,ISO CODES,POPULATION,AREA KM2,GDP $USD
أثيوبيا,251,ET / ETH,88013491,1127127,47.34 Billion
أذربيجان,994,AZ / AZE,8303512,86600,76.01 Billion
أرمينيا,374,AM / ARM,2968000,29800,10.44 Billion
أروبا,297,AW / ABW,71566,193,2.516 Billion
أستراليا,61,AU / AUS,21515754,7686850,1.488 Trillion
أفغانستان,93,AF / AFG,29121286,647500,20.65 Billion
ألبانيا,355,AL / ALB,2986952,28748,12.8 Billion
ألمانيا,49,DE / DEU,81802257,357021,3.593 Trillion
أنتاركتيكا,672,AQ / ATA,0,14000000,
أنتيغوا وبربودا,1-268,AG / ATG,86754,443,1.22 Billion
أندورا,376,AD / AND,84000,468,4.8 Billion
أنغولا,244,AO / AGO,13068161,1246700,124 Billion
أنغيلا,1-264,AI / AIA,13254,102,175.4 Million
أوروجواي,598,UY / URY,3477000,176220,57.11 Billion
أوزبكستان,998,UZ / UZB,27865738,447400,55.18 Billion
أوغندا,256,UG / UGA,33398682,236040,22.6 Billion
أوكرانيا,380,UA / UKR,45415596,603700,175.5 Billion
أيرلندا,353,IE / IRL,4622917,70280,220.9 Billion
أيسلندا,354,IS / ISL,308910,103000,14.59 Billion
إريتريا,291,ER / ERI,5792984,121320,3.438 Billion
إسبانيا,34,ES / ESP,46505963,504782,1.356 Trillion
إستونيا,372,EE / EST,1291170,45226,24.28 Billion
إسرائيل,972,IL / ISR,7353985,20770,272.7 Billion
إقليم المحيط البريطاني الهندي,246,IO / IOT,4000,60,
إندونيسيا,62,ID / IDN,242968342,1919440,867.5 Billion
إيران,98,IR / IRN,76923300,1648000,411.9 Billion
إيطاليا,39,IT / ITA,60340328,301230,2.068 Trillion
الأرجنتين,54,AR / ARG,41343201,2766890,484.6 Billion
الأردن,962,JO / JOR,6407085,92300,34.08 Billion
الأرض الخضراء,299,GL / GRL,56375,2166086,2.16 Billion
الإكوادور,593,EC / ECU,14790608,283560,91.41 Billion
الإمارات العربية المتحدة,971,AE / ARE,4975593,82880,390 Billion
البحرين,973,BH / BHR,738004,665,28.36 Billion
البرازيل,55,BR / BRA,201103330,8511965,2.19 Trillion
البرتغال,351,PT / PRT,10676000,92391,219.3 Billion
البوسنة والهرسك,387,BA / BIH,4590000,51129,18.87 Billion
الجبل الأسود,382,ME / MNE,666730,14026,4.518 Billion
الجزائر,213,DZ / DZA,34586184,2381740,215.7 Billion
الجمهورية التشيكية,420,CZ / CZE,10476000,78866,194.8 Billion
الدنمارك,45,DK / DNK,5484000,43094,324.3 Billion
الرأس الأخضر,238,CV / CPV,508659,4033,1.955 Billion
السلفادور,503,SV / SLV,6052064,21040,24.67 Billion
السنغال,221,SN / SEN,12323252,196190,15.36 Billion
السودان,249,SD / SDN,35000000,1861484,52.5 Billion
السويد,46,SE / SWE,9555893,449964,552 Billion
الصحراء الغربية,212,EH / ESH,273008,266000,
الصومال,252,SO / SOM,10112453,637657,2.372 Billion
الصين,86,CN / CHN,1330044000,9596960,9.33 Trillion
العراق,964,IQ / IRQ,29671605,437072,221.8 Billion
الفاتيكان,379,VA / VAT,921,0,
القديس مارتن,590,MF / MAF,35925,53,561.5 Million
القديسة لوسيا,1-758,LC / LCA,160922,616,1.377 Billion
الكاميرون,237,CM / CMR,19294149,475440,27.88 Billion
الكويت,965,KW / KWT,2789132,17820,179.5 Billion
المغرب,212,MA / MAR,31627428,446550,104.8 Billion
المكسيك,52,MX / MEX,112468855,1972550,1.327 Trillion
المملكة العربية السعودية,966,SA / SAU,25731776,1960582,718.5 Billion
المملكة المتحدة,44,GB / GBR,62348447,244820,2.49 Trillion
النرويج,47,NO / NOR,5009150,324220,515.8 Billion
النمسا,43,AT / AUT,8205000,83858,417.9 Billion
النيجر,227,NE / NER,15878271,1267000,7.304 Billion
الهند,91,IN / IND,1173108018,3287590,1.67 Trillion
الولايات المتحدة الأمريكية,1,US / USA,310232863,9629091,16.72 Trillion
اليابان,81,JP / JPN,127288000,377835,5.007 Trillion
اليمن,967,YE / YEM,23495361,527970,43.89 Billion
اليونان,30,GR / GRC,11000000,131940,243.3 Billion
بابوا غينيا الجديدة,675,PG / PNG,6064515,462840,16.1 Billion
باراجواي,595,PY / PRY,6375830,406750,30.56 Billion
باكستان,92,PK / PAK,184404791,803940,236.5 Billion
بالاو,680,PW / PLW,19907,458,221 Million
بربادوس,1-246,BB / BRB,285653,431,4.262 Billion
برمودا,1-441,BM / BMU,65365,53,5.6 Billion
بروناي,673,BN / BRN,395027,5770,16.56 Billion
بلجيكا,32,BE / BEL,10403000,30510,507.4 Billion
بلغاريا,359,BG / BGR,7148785,110910,53.7 Billion
بليز,501,BZ / BLZ,314522,22966,1.637 Billion
بنغلاديش,880,BD / BGD,156118464,144000,140.2 Billion
بنما,507,PA / PAN,3410676,78200,40.62 Billion
بنين,229,BJ / BEN,9056010,112620,8.359 Billion
بوتان,975,BT / BTN,699847,47000,2.133 Billion
بوتسوانا,267,BW / BWA,2029307,600370,15.53 Billion
بوركينا فاسو,226,BF / BFA,16241811,274200,12.13 Billion
بوروندي,257,BI / BDI,9863117,27830,2.676 Billion
بولندا,48,PL / POL,38500000,312685,513.9 Billion
بوليفيا,591,BO / BOL,9947418,1098580,30.79 Billion
بولينيزيا الفرنسية,689,PF / PYF,270485,4167,5.65 Billion
بويرتو ريكو,"1-787, 1-939",PR / PRI,3916632,9104,93.52 Billion
بيتكيرن,64,PN / PCN,46,47,
بيرو,51,PE / PER,29907003,1285220,210.3 Billion
بيلاروسيا,375,BY / BLR,9685000,207600,69.24 Billion
تايلاند,66,TH / THA,67089500,514000,400.9 Billion
تايوان,886,TW / TWN,22894384,35980,484.7 Billion
تركمانستان,993,TM / TKM,4940916,488100,40.56 Billion
ترينداد وتوباغو,1-868,TT / TTO,1228691,5128,27.13 Billion
تشاد,235,TD / TCD,10543464,1284000,13.59 Billion
تنزانيا,255,TZ / TZA,41892895,945087,31.94 Billion
توجو,228,TG / TGO,6587239,56785,4.299 Billion
توفالو,688,TV / TUV,10472,26,38 Million
توكيلاو,690,TK / TKL,1466,10,
تونس,216,TN / TUN,10589025,163610,48.38 Billion
تونغا,676,TO / TON,122580,748,477 Million
تيمور الشرقية,670,TL / TLS,1154625,15007,6.129 Billion
جامايكا,1-876,JM / JAM,2847232,10991,14.39 Billion
جبل طارق,350,GI / GIB,27884,7,1.106 Billion
جزر الأنتيل الهولندية,599,AN / ANT,136197,960,
جزر البهاما,1-242,BS / BHS,301790,13940,8.373 Billion
جزر القمر,269,KM / COM,773407,2170,658 Million
جزر المالديف,960,MV / MDV,395650,300,2.27 Billion
جزر تركس وكايكوس,1-649,TC / TCA,20556,430,
جزر سليمان,677,SB / SLB,559198,28450,1.099 Billion
جزر فاروس,298,FO / FRO,48228,1399,2.32 Billion
جزر فوكلاند,500,FK / FLK,2638,12173,164.5 Million
جزر فيرجن الأمريكية,1-340,VI / VIR,108708,352,
جزر فيرجن البريطانية,1-284,VG / VGB,21730,153,1.095 Billion
جزر كايمان,1-345,KY / CYM,44270,262,2.25 Billion
جزر كوك,682,CK / COK,21388,240,183.2 Million
جزر كوكوس,61,CC / CCK,628,14,
جزر مارشال,692,MH / MHL,65859,181,193 Million
جزر مريانا الشمالية,1-670,MP / MNP,53883,477,733 Million
جزيرة آيل أوف مان,44-1624,IM / IMN,75049,572,4.076 Billion
جزيرة الكريسماس,61,CX / CXR,1500,135,
جمع شمل,262,RE / REU,776948,2517,
جمهورية افريقيا الوسطى,236,CF / CAF,4844927,622984,2.05 Billion
جمهورية الدومنيكان,"1-809, 1-829, 1-849",DO / DOM,9823821,48730,59.27 Billion
جمهورية الكونغو,242,CG / COG,3039126,342000,14.25 Billion
